,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
160,LC-2019-0012293,2019,1,7,2019-01-07,,Varon,22.0,
161,LC-2019-0012508,2019,1,7,2019-01-07,,Varon,22.0,
162,LC-2019-0012578,2019,1,7,2019-01-07,,Mujer,74.0,
163,LC-2019-0012580,2019,1,7,2019-01-07,,Varon,38.0,
164,LC-2019-0012638,2019,1,7,2019-01-07,,Varon,34.0,
165,LC-2019-0082237,2019,2,8,2019-02-08,,Varon,31.0,
166,LC-2019-0012823,2019,1,7,2019-01-07,,Varon,19.0,
167,LC-2019-0013193,2019,1,7,2019-01-07,,Varon,27.0,
168,LC-2019-0013235,2019,1,7,2019-01-07,,Varon,45.0,
169,LC-2019-0463737,2019,7,26,2019-07-26,,Varon,30.0,
170,LC-2019-0013370,2019,1,7,2019-01-07,,Varon,30.0,
171,LC-2019-0013412,2019,1,7,2019-01-07,,Mujer,9.0,
172,LC-2019-0013412,2019,1,7,2019-01-07,,Varon,9.0,
173,LC-2019-0013440,2019,1,7,2019-01-07,,Mujer,49.0,
174,LC-2019-0013452,2019,1,7,2019-01-07,,Varon,39.0,
175,LC-2019-0013589,2019,1,7,2019-01-07,,Varon,75.0,
176,LC-2019-0013652,2019,1,7,2019-01-07,,Mujer,35.0,
177,LC-2019-0013652,2019,1,7,2019-01-07,,Mujer,35.0,
178,LC-2019-0013652,2019,1,7,2019-01-07,,Mujer,2.0,
179,LC-2019-0013652,2019,1,7,2019-01-07,,Varon,26.0,
180,LC-2019-0013857,2019,1,7,2019-01-07,,Varon,13.0,
181,LC-2019-0013857,2019,1,7,2019-01-07,,Mujer,13.0,
182,LC-2019-0015962,2019,1,7,2019-01-07,,Varon,6.0,
183,LC-2019-0021745,2019,1,7,2019-01-07,,Varon,75.0,
184,LC-2019-0013801,2019,1,8,2019-01-08,,Varon,39.0,
185,LC-2019-0013840,2019,1,8,2019-01-08,,Varon,22.0,
186,LC-2019-0013850,2019,1,8,2019-01-08,,Mujer,29.0,
187,LC-2019-0014140,2019,1,8,2019-01-08,,Varon,9.0,
188,LC-2019-0014220,2019,1,8,2019-01-08,,Varon,32.0,
189,LC-2019-0014314,2019,1,8,2019-01-08,,Varon,42.0,
190,LC-2019-0014442,2019,1,8,2019-01-08,,Varon,83.0,
191,LC-2019-0014448,2019,1,8,2019-01-08,,Varon,62.0,
192,LC-2019-0014503,2019,1,8,2019-01-08,,Varon,62.0,
193,LC-2019-0014534,2019,1,8,2019-01-08,,,18.0,
194,LC-2019-0014580,2019,1,8,2019-01-08,,Varon,18.0,
195,LC-2019-0014644,2019,1,8,2019-01-08,,Varon,29.0,
196,LC-2019-0014644,2019,1,8,2019-01-08,,Varon,29.0,
197,LC-2019-0014787,2019,1,8,2019-01-08,,Mujer,30.0,
198,LC-2019-0014790,2019,1,8,2019-01-08,,Varon,30.0,
199,LC-2019-0014956,2019,1,8,2019-01-08,,Varon,32.0,
200,LC-2019-0015085,2019,1,8,2019-01-08,,Varon,41.0,
201,LC-2019-0015193,2019,1,8,2019-01-08,,Varon,64.0,
202,LC-2019-0015241,2019,1,8,2019-01-08,,Mujer,64.0,
203,LC-2019-0015361,2019,1,8,2019-01-08,,Varon,33.0,
204,LC-2019-0015585,2019,1,8,2019-01-08,,Varon,31.0,
205,LC-2019-0015614,2019,1,8,2019-01-08,,Mujer,31.0,
206,LC-2019-0006068,2019,1,4,2019-01-04,,Varon,20.0,
207,LC-2019-0015700,2019,1,8,2019-01-08,,Varon,34.0,
208,LC-2019-0015822,2019,1,8,2019-01-08,,Varon,5.0,
209,LC-2019-0015879,2019,1,8,2019-01-08,,,6.0,
