,ID hecho,MM,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,AÑO,semestre
17501,LC-2020-0166953,3,2020-03-16,MOTO,Mujer,35.0,2020,S2H1
17502,LC-2020-0172144,3,2020-03-18,,Varon,42.0,2020,S2H1
17503,LC-2020-0177589,3,2020-03-23,AUTO,Varon,55.0,2020,S2H1
17504,LC-2020-0177719,3,2020-03-23,MOTO,Varon,40.0,2020,S2H1
17505,LC-2020-0203570,4,2020-04-20,MOTO,Varon,53.0,2020,S2H1
17506,LC-2020-0220484,4,2020-04-29,MOTO,Mujer,32.0,2020,S2H1
17507,LC-2020-0221534,4,2020-04-29,MOTO,Varon,38.0,2020,S2H1
17508,LC-2020-0237536,5,2020-05-12,MOTO,Varon,27.0,2020,S2H1
17509,LC-2020-0261922,5,2020-05-27,MOTO,,,2020,S2H1
17510,LC-2020-0283016,6,2020-06-05,MOTO,Varon,32.0,2020,S2H1
17511,LC-2020-0297133,6,2020-06-13,AUTO,Varon,35.0,2020,S2H1
17512,LC-2020-0297133,6,2020-06-13,AUTO,Mujer,30.0,2020,S2H1
17513,LC-2020-0313181,6,2020-06-17,MOTO,Mujer,32.0,2020,S2H1
17514,LC-2020-0368075,6,2020-06-26,MOTO,,,2020,S2H1
17515,LC-2020-0369842,6,2020-06-26,TRANSPORTE PUBLICO,Varon,58.0,2020,S2H1
17516,LC-2020-0378365,6,2020-06-30,CICLISTA,Mujer,35.0,2020,S2H1
17517,LC-2020-0409330,7,2020-07-04,AUTO,Varon,41.0,2020,S2H2
17518,LC-2020-0417413,7,2020-07-06,MOTO,Varon,24.0,2020,S2H2
17519,LC-2020-0420100,7,2020-07-08,CICLISTA,Mujer,29.0,2020,S2H2
17520,LC-2020-0438388,7,2020-07-16,MOTO,Varon,34.0,2020,S2H2
17521,LC-2020-0446490,7,2020-07-21,PEATON,Mujer,39.0,2020,S2H2
