,ID_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,GRAVEDAD
676,2021-0057,2021-07-10,CONDUCTOR,AUTO,MASCULINO,46.0,FATAL
677,2021-0058,2021-07-21,PEATON,PEATON,MASCULINO,24.0,FATAL
678,2021-0059,2021-07-22,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,44.0,FATAL
679,2021-0060,2021-07-22,PEATON,PEATON,FEMENINO,80.0,FATAL
680,2021-0061,2021-07-24,PEATON,PEATON,FEMENINO,55.0,FATAL
681,2021-0062,2021-07-27,CONDUCTOR,AUTO,MASCULINO,73.0,FATAL
682,2021-0063,2021-08-02,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,31.0,FATAL
683,2021-0064,2021-08-02,PEATON,PEATON,MASCULINO,37.0,FATAL
684,2021-0065,2021-08-06,PEATON,PEATON,FEMENINO,63.0,FATAL
685,2021-0066,2021-08-06,PEATON,PEATON,MASCULINO,59.0,FATAL
686,2021-0067,2021-08-08,CONDUCTOR,MOTO,MASCULINO,27.0,FATAL
687,2021-0068,2021-08-15,CONDUCTOR,MOTO,MASCULINO,39.0,FATAL
688,2021-0069,2021-08-20,PEATON,PEATON,MASCULINO,17.0,FATAL
689,2021-0070,2021-08-28,CONDUCTOR,MOTO,MASCULINO,31.0,FATAL
690,2021-0071,2021-08-31,PEATON,PEATON,MASCULINO,88.0,FATAL
691,2021-0072,2021-09-01,PEATON,PEATON,FEMENINO,57.0,FATAL
692,2021-0073,2021-09-18,CICLISTA,BICICLETA,FEMENINO,76.0,FATAL
693,2021-0074,2021-09-20,CONDUCTOR,MOTO,MASCULINO,55.0,FATAL
694,2021-0075,2021-09-21,PEATON,PEATON,MASCULINO,65.0,FATAL
695,2021-0076,2021-10-16,CONDUCTOR,MOTO,MASCULINO,31.0,FATAL
696,2021-0077,2021-10-18,CONDUCTOR,MOTO,FEMENINO,31.0,FATAL
697,2021-0078,2021-10-23,CONDUCTOR,MOTO,MASCULINO,22.0,FATAL
698,2021-0079,2021-10-25,PEATON,PEATON,MASCULINO,,FATAL
699,2021-0080,2021-10-28,CONDUCTOR,MOTO,MASCULINO,32.0,FATAL
700,2021-0081,2021-11-02,CONDUCTOR,MOTO,MASCULINO,26.0,FATAL
701,2021-0082,2021-11-06,CONDUCTOR,MOTO,MASCULINO,38.0,FATAL
702,2021-0083,2021-11-09,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
703,2021-0084,2021-11-11,CONDUCTOR,AUTO,MASCULINO,32.0,FATAL
704,2021-0097,2021-11-18,CICLISTA,BICICLETA,MASCULINO,53.0,FATAL
705,2021-0085,2021-11-20,CONDUCTOR,MOTO,MASCULINO,49.0,FATAL
706,2021-0086,2021-11-25,PEATON,PEATON,MASCULINO,75.0,FATAL
707,2021-0087,2021-11-27,PEATON,PEATON,FEMENINO,73.0,FATAL
708,2021-0088,2021-12-01,CONDUCTOR,MOTO,MASCULINO,45.0,FATAL
709,2021-0089,2021-12-02,CONDUCTOR,MOTO,MASCULINO,41.0,FATAL
710,2021-0090,2021-12-10,PEATON,PEATON,MASCULINO,73.0,FATAL
711,2021-0091,2021-12-11,CONDUCTOR,MOTO,MASCULINO,24.0,FATAL
712,2021-0092,2021-12-12,PEATON,PEATON,FEMENINO,50.0,FATAL
713,2021-0093,2021-12-13,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,18.0,FATAL
714,2021-0094,2021-12-20,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,43.0,FATAL
715,2021-0095,2021-12-30,CONDUCTOR,MOTO,MASCULINO,27.0,FATAL
716,2021-0096,2021-12-15,CONDUCTOR,AUTO,MASCULINO,60.0,FATAL
